host_city,year,host_country,artist_country,running_order
Stockholm,2016,Sweden,Czech Republic,2.0
Stockholm,2016,Sweden,Armenia,26.0
Stockholm,2016,Sweden,Malta,22.0
Stockholm,2016,Sweden,Cyprus,14.0
Stockholm,2016,Sweden,Croatia,17.0
Stockholm,2016,Sweden,Azerbaijan,4.0
Stockholm,2016,Sweden,United Kingdom,25.0
Stockholm,2016,Sweden,France,11.0
Stockholm,2016,Sweden,Italy,6.0
Stockholm,2016,Sweden,Spain,19.0
Stockholm,2016,Sweden,Germany,10.0
Stockholm,2016,Sweden,Sweden,9.0
Vienna,2015,Austria,Finland,5.0
Vienna,2015,Austria,Moldova,1.0
Vienna,2015,Austria,Netherlands,4.0
Vienna,2015,Austria,North Macedonia,8.0
Vienna,2015,Austria,Belarus,11.0
Vienna,2015,Austria,Denmark,13.0
Vienna,2015,Austria,Armenia,2.0
Vienna,2015,Austria,Hungary,10.0
Vienna,2015,Austria,Belgium,3.0
Vienna,2015,Austria,Georgia,16.0
Vienna,2015,Austria,Albania,14.0
Vienna,2015,Austria,Russia,12.0
Vienna,2015,Austria,Estonia,7.0
Vienna,2015,Austria,Romania,15.0
Vienna,2015,Austria,Greece,6.0
Vienna,2015,Austria,Serbia,9.0
Vienna,2015,Austria,Portugal,7.0
Vienna,2015,Austria,Iceland,12.0
Vienna,2015,Austria,Malta,5.0
Vienna,2015,Austria,San Marino,3.0
Vienna,2015,Austria,Czech Republic,8.0
Vienna,2015,Austria,Ireland,2.0
Vienna,2015,Austria,Switzerland,14.0
Vienna,2015,Austria,Sweden,13.0
Vienna,2015,Austria,Montenegro,4.0
Vienna,2015,Austria,Cyprus,15.0
Vienna,2015,Austria,Israel,9.0
Vienna,2015,Austria,Poland,17.0
Vienna,2015,Austria,Lithuania,1.0
Vienna,2015,Austria,Latvia,10.0
Vienna,2015,Austria,Slovenia,16.0
Vienna,2015,Austria,Azerbaijan,11.0
Vienna,2015,Austria,Norway,6.0
Vienna,2015,Austria,Australia,12.0
Vienna,2015,Austria,Spain,21.0
Vienna,2015,Austria,France,2.0
Vienna,2015,Austria,Italy,27.0
Vienna,2015,Austria,United Kingdom,5.0
Vienna,2015,Austria,Armenia,6.0
Vienna,2015,Austria,Hungary,22.0
Vienna,2015,Austria,Belgium,13.0
Vienna,2015,Austria,Georgia,23.0
Vienna,2015,Austria,Albania,26.0
Vienna,2015,Austria,Russia,25.0
Vienna,2015,Austria,Estonia,4.0
Vienna,2015,Austria,Romania,20.0
Vienna,2015,Austria,Greece,15.0
Vienna,2015,Austria,Serbia,8.0
Vienna,2015,Austria,Sweden,10.0
Vienna,2015,Austria,Montenegro,16.0
Vienna,2015,Austria,Austria,14.0
Vienna,2015,Austria,Germany,17.0
Vienna,2015,Austria,Cyprus,11.0
Vienna,2015,Austria,Israel,3.0
Vienna,2015,Austria,Poland,18.0
Vienna,2015,Austria,Lithuania,7.0
Vienna,2015,Austria,Latvia,19.0
Vienna,2015,Austria,Slovenia,1.0
Vienna,2015,Austria,Azerbaijan,24.0
Vienna,2015,Austria,Norway,9.0
Copenhagen,2014,Denmark,Portugal,13.0
Copenhagen,2014,Denmark,Moldova,11.0
Copenhagen,2014,Denmark,Belgium,10.0
Copenhagen,2014,Denmark,Estonia,3.0
Copenhagen,2014,Denmark,Latvia,2.0
Copenhagen,2014,Denmark,Albania,6.0
Copenhagen,2014,Denmark,Netherlands,14.0
Copenhagen,2014,Denmark,Ukraine,9.0
Copenhagen,2014,Denmark,San Marino,12.0
Copenhagen,2014,Denmark,Montenegro,15.0
Copenhagen,2014,Denmark,Hungary,16.0
Copenhagen,2014,Denmark,Armenia,1.0
Copenhagen,2014,Denmark,Azerbaijan,8.0
Copenhagen,2014,Denmark,Russia,7.0
Copenhagen,2014,Denmark,Iceland,5.0
Copenhagen,2014,Denmark,Sweden,4.0
Copenhagen,2014,Denmark,Ireland,9.0
Copenhagen,2014,Denmark,North Macedonia,11.0
Copenhagen,2014,Denmark,Lithuania,7.0
Copenhagen,2014,Denmark,Georgia,4.0
Copenhagen,2014,Denmark,Israel,2.0
Copenhagen,2014,Denmark,Greece,13.0
Copenhagen,2014,Denmark,Switzerland,12.0
Copenhagen,2014,Denmark,Belarus,10.0
Copenhagen,2014,Denmark,Slovenia,14.0
Copenhagen,2014,Denmark,Romania,15.0
Copenhagen,2014,Denmark,Finland,8.0
Copenhagen,2014,Denmark,Malta,1.0
Copenhagen,2014,Denmark,Poland,5.0
Copenhagen,2014,Denmark,Austria,6.0
Copenhagen,2014,Denmark,Norway,3.0
Copenhagen,2014,Denmark,United Kingdom,26.0
Copenhagen,2014,Denmark,Italy,16.0
Copenhagen,2014,Denmark,Germany,12.0
Copenhagen,2014,Denmark,Denmark,23.0
Copenhagen,2014,Denmark,France,14.0
Copenhagen,2014,Denmark,Spain,19.0
Copenhagen,2014,Denmark,Netherlands,24.0
Copenhagen,2014,Denmark,Ukraine,1.0
Copenhagen,2014,Denmark,San Marino,25.0
Copenhagen,2014,Denmark,Montenegro,8.0
Copenhagen,2014,Denmark,Hungary,21.0
Copenhagen,2014,Denmark,Armenia,7.0
Copenhagen,2014,Denmark,Azerbaijan,3.0
Copenhagen,2014,Denmark,Russia,15.0
Copenhagen,2014,Denmark,Iceland,4.0
Copenhagen,2014,Denmark,Sweden,13.0
Copenhagen,2014,Denmark,Greece,10.0
Copenhagen,2014,Denmark,Switzerland,20.0
Copenhagen,2014,Denmark,Belarus,2.0
Copenhagen,2014,Denmark,Slovenia,17.0
Copenhagen,2014,Denmark,Romania,6.0
Copenhagen,2014,Denmark,Finland,18.0
Copenhagen,2014,Denmark,Malta,22.0
Copenhagen,2014,Denmark,Poland,9.0
Copenhagen,2014,Denmark,Austria,11.0
Copenhagen,2014,Denmark,Norway,5.0
Malmö,2013,Sweden,Serbia,16.0
Malmö,2013,Sweden,Montenegro,9.0
Malmö,2013,Sweden,Slovenia,3.0
Malmö,2013,Sweden,Cyprus,14.0
Malmö,2013,Sweden,Austria,1.0
Malmö,2013,Sweden,Croatia,4.0
Malmö,2013,Sweden,Netherlands,8.0
Malmö,2013,Sweden,Belgium,15.0
Malmö,2013,Sweden,Ukraine,7.0
Malmö,2013,Sweden,Russia,6.0
Malmö,2013,Sweden,Ireland,13.0
Malmö,2013,Sweden,Moldova,12.0
Malmö,2013,Sweden,Estonia,2.0
Malmö,2013,Sweden,Belarus,11.0
Malmö,2013,Sweden,Lithuania,10.0
Malmö,2013,Sweden,Denmark,5.0
Malmö,2013,Sweden,Bulgaria,7.0
Malmö,2013,Sweden,North Macedonia,3.0
Malmö,2013,Sweden,San Marino,2.0
Malmö,2013,Sweden,Switzerland,16.0
Malmö,2013,Sweden,Albania,14.0
Malmö,2013,Sweden,Latvia,1.0
Malmö,2013,Sweden,Israel,10.0
Malmö,2013,Sweden,Armenia,11.0
Malmö,2013,Sweden,Hungary,12.0
Malmö,2013,Sweden,Finland,5.0
Malmö,2013,Sweden,Romania,17.0
